Title,Ingridients,combined
lele goreng,"lele ukuran sedangbersihkan, halus , bawang putih, ketumbar bubuk, garam halus, kunyit,","lele goreng lele ukuran sedangbersihkan, halus , bawang putih, ketumbar bubuk, garam halus, kunyit,"
ikan patin kecap,"ikan patin, bawang putih, bawang merah, bawang bombay, kecap, royco, daun salam, lengkuas, saos tiram, air, cabai ,","ikan patin kecap ikan patin, bawang putih, bawang merah, bawang bombay, kecap, royco, daun salam, lengkuas, saos tiram, air, cabai ,"
mangut lele telor lele #keto #ketofy #ketopad,"badan lele + telor lele + kulit lele, bawang merah, bawang putih, jahe, kunyit, kencur, daun jeruk, daun salam, serai memarkan, kemiri, garam krosok, santan kara dicairkan, minyak kelapa,","mangut lele telor lele #keto #ketofy #ketopad badan lele + telor lele + kulit lele, bawang merah, bawang putih, jahe, kunyit, kencur, daun jeruk, daun salam, serai memarkan, kemiri, garam krosok, santan kara dicairkan, minyak kelapa,"
tumis gurame pedas asam.,"gurame dipotong potong, cabe rawit , bawang putih , asam kandis, tomat , gula saja, garam, bawang merah, lbr salam,","tumis gurame pedas asam. gurame dipotong potong, cabe rawit , bawang putih , asam kandis, tomat , gula saja, garam, bawang merah, lbr salam,"
tuna corn pastry,"pastry instan merk edo, tuna, jagung , wortel , cabe merah keriting , bawang putih, garam, lada, saus tiram, telur rebus, air, minyak menumis, topping , mayonaise, saus sambal, parsley cincang,","tuna corn pastry pastry instan merk edo, tuna, jagung , wortel , cabe merah keriting , bawang putih, garam, lada, saus tiram, telur rebus, air, minyak menumis, topping , mayonaise, saus sambal, parsley cincang,"
ikan patin kuah kuning seger,"ikan patin, bawang merah, bawang putih, butir kemiri, cm kunyit, cabe rawit , garam, penyedap, daun salam kering, lengkuas, bj tomat hijau, minyak menumis bumbu,","ikan patin kuah kuning seger ikan patin, bawang merah, bawang putih, butir kemiri, cm kunyit, cabe rawit , garam, penyedap, daun salam kering, lengkuas, bj tomat hijau, minyak menumis bumbu,"
mangut cakalang,"ikan cakalang besar, kemangi, gelas santan, halus, bawang merah, bawang putih, merica bubuk, ketumbar, garam, gula, kunyit, geprek, batang sereh, jahe,","mangut cakalang ikan cakalang besar, kemangi, gelas santan, halus, bawang merah, bawang putih, merica bubuk, ketumbar, garam, gula, kunyit, geprek, batang sereh, jahe,"
ikan patin kuning,"ikan patin, bawang putih, bawang merah, cm kunir, garam & gula, ketumbar, batang serai geprek, daun jeruk, butir kemiri, tomat ², daun kemangii, kalo pengen pedes tambahkan lombok,","ikan patin kuning ikan patin, bawang putih, bawang merah, cm kunir, garam & gula, ketumbar, batang serai geprek, daun jeruk, butir kemiri, tomat ², daun kemangii, kalo pengen pedes tambahkan lombok,"
tumis ikan tongkol cue suir,"ikan tongkol cuegoreng suir, , bawang merah , bawang putih , batang cabe ijo difoto qo ga keliatan cabe ijonya, cabe rawit serong, minyak u menumis, gula garam,","tumis ikan tongkol cue suir ikan tongkol cuegoreng suir, , bawang merah , bawang putih , batang cabe ijo difoto qo ga keliatan cabe ijonya, cabe rawit serong, minyak u menumis, gula garam,"
kare mujair pedas,"ikan mujair, butir kelapa, cabe merah , lombok setan, bawang merah, bawang putih, ketumbar, merica, kemiri, kunyit, jahe, laos, sere , daun salam, daun jeruk, tomat, garam, gula jawa, royco sapi, minyak,","kare mujair pedas ikan mujair, butir kelapa, cabe merah , lombok setan, bawang merah, bawang putih, ketumbar, merica, kemiri, kunyit, jahe, laos, sere , daun salam, daun jeruk, tomat, garam, gula jawa, royco sapi, minyak,"
nila goreng sambal bawang tiram,"ikan nila ukuran , sambal , tomat merah , bawang putih , bawang merah , cabe merah , batang serai, lbr daun jeruk, daun bawang , saus tiram, tepung maizena , royco, garam, bawang putih giling, kunyit giling, tepung sajiku , air, minyak goreng,","nila goreng sambal bawang tiram ikan nila ukuran , sambal , tomat merah , bawang putih , bawang merah , cabe merah , batang serai, lbr daun jeruk, daun bawang , saus tiram, tepung maizena , royco, garam, bawang putih giling, kunyit giling, tepung sajiku , air, minyak goreng,"
gulai ikan lele,"ikan lele, butir kelapa tua, bj cabe merah, bawang merah, bawang putih, butir kemiri, ketumbar pnya, jahe pnya, lengkuas pnya, daun salam pnya, kunyit pnya, daun jeruk pnya, royco pnya, cabe rawit pnya, minyak goreng,","gulai ikan lele ikan lele, butir kelapa tua, bj cabe merah, bawang merah, bawang putih, butir kemiri, ketumbar pnya, jahe pnya, lengkuas pnya, daun salam pnya, kunyit pnya, daun jeruk pnya, royco pnya, cabe rawit pnya, minyak goreng,"
grilled gurame fish x sambal matah,"potong ikan gurame bersih, gara adaperasan jeruk nipis sesuai selera marinate, bawang merah tipis, batang serai tipis, cabe rawit tipis, terasi sachet udang, minyak, penyedap rasa, jeruk nipis,","grilled gurame fish x sambal matah potong ikan gurame bersih, gara adaperasan jeruk nipis sesuai selera marinate, bawang merah tipis, batang serai tipis, cabe rawit tipis, terasi sachet udang, minyak, penyedap rasa, jeruk nipis,"
dori fillet goreng tepung,"fillet ikan dori, tepung tempura, jeruk lemon nipis, bawang putih, garam lada, minyak goreng,","dori fillet goreng tepung fillet ikan dori, tepung tempura, jeruk lemon nipis, bawang putih, garam lada, minyak goreng,"
ikan mas masak manis,"ikan mas ukuran biarkan utuh, bawang merah rajang halus, kentang ukuran potong , btg seledri petiki daunnya, garam, gula, merica bubuk, lt air,","ikan mas masak manis ikan mas ukuran biarkan utuh, bawang merah rajang halus, kentang ukuran potong , btg seledri petiki daunnya, garam, gula, merica bubuk, lt air,"
ikan kakap kukus (menu diet),"potong ikan kakap, bawang putih, bawang merah, cabai merah keriting, ladagaram, daun seledri, kunyit bubuk, mentega, oregano,","ikan kakap kukus (menu diet) potong ikan kakap, bawang putih, bawang merah, cabai merah keriting, ladagaram, daun seledri, kunyit bubuk, mentega, oregano,"
pesmol ikan nila,"ikan nila , ² yg dihaluskan, bawang merah, bawang putih, kemiri, kunyit, jahe, lengkuas, helai daun bawang, tomat merah, wortel , cabai rawit utuh, jeruk nipis , garam gula, air minya,","pesmol ikan nila ikan nila , ² yg dihaluskan, bawang merah, bawang putih, kemiri, kunyit, jahe, lengkuas, helai daun bawang, tomat merah, wortel , cabai rawit utuh, jeruk nipis , garam gula, air minya,"
ikan kembung goreng,"ikan kembung, jeruk nipis, garam, halus, bawang putih, kunyit, ketumbar, garam, air,","ikan kembung goreng ikan kembung, jeruk nipis, garam, halus, bawang putih, kunyit, ketumbar, garam, air,"
sup bening ikan tongkol asam pedas,"ikan tongkol, bawang merah tipis, bawang putih geprek, jahe geprek, batang serai geprek, tomat hijau, ikat kemangi, jeruk nipis, biji rawit merah ijo,","sup bening ikan tongkol asam pedas ikan tongkol, bawang merah tipis, bawang putih geprek, jahe geprek, batang serai geprek, tomat hijau, ikat kemangi, jeruk nipis, biji rawit merah ijo,"
gurami saos lada hitam,"gurami goreng kering. marinasi ya, bawang bombay , bawang putih , cabe merah serong, cabe rawit, bawang prei, gula garam, penyedap rasa, sach saos lada hitam, saos tomat, saos ing is, saos tiram, kecap manis, lada hitam bubuk, air, maizena diencerkan air,","gurami saos lada hitam gurami goreng kering. marinasi ya, bawang bombay , bawang putih , cabe merah serong, cabe rawit, bawang prei, gula garam, penyedap rasa, sach saos lada hitam, saos tomat, saos ing is, saos tiram, kecap manis, lada hitam bubuk, air, maizena diencerkan air,"
mie cakalang asli manado,"mie basah, ptg ikang cakalang tongkol, bawang putih, lbr sawi hijau, btg bawang pre, tahu, garamkaldu jamur lada, bawang goreng utk taburan, air, sambal , bawang putih, cabe rawit, garam, cuka,","mie cakalang asli manado mie basah, ptg ikang cakalang tongkol, bawang putih, lbr sawi hijau, btg bawang pre, tahu, garamkaldu jamur lada, bawang goreng utk taburan, air, sambal , bawang putih, cabe rawit, garam, cuka,"
tuna asam manis,"tuna fillet, saori saus tiram, air tepung maizena, tomat, sct saos sambal, tepung , garam, telur, bawang bombay, bawang putih, kecap,","tuna asam manis tuna fillet, saori saus tiram, air tepung maizena, tomat, sct saos sambal, tepung , garam, telur, bawang bombay, bawang putih, kecap,"
pindang ikan patin,"ikan patincucit kan, air, cabe rawit utuh, bawang merah halus, bawang putih halus, cabe merah memanjang, btg serehgeprek, lengkuasgeprek, jahepotong kasar, kunyitpotong kasar, lbr daun salam, lbr daun jeruk, tomatpotong dadu, btg daun bawangpotong kasar, garam, secukupny gula, seikat kemangi,","pindang ikan patin ikan patincucit kan, air, cabe rawit utuh, bawang merah halus, bawang putih halus, cabe merah memanjang, btg serehgeprek, lengkuasgeprek, jahepotong kasar, kunyitpotong kasar, lbr daun salam, lbr daun jeruk, tomatpotong dadu, btg daun bawangpotong kasar, garam, secukupny gula, seikat kemangi,"
tongkol suwir cabe ijo,"tongkolbersihkan kukus, biji cabe hijau tipis , tomat , bawang bombay bulat bawang bombay , biji bawang merah tipis , daun salam, gula merah, penyedap , minyak goreng, halus, biji cabe rawit, biji bawang putih, kunyit, jahe, kemiri, garam,","tongkol suwir cabe ijo tongkolbersihkan kukus, biji cabe hijau tipis , tomat , bawang bombay bulat bawang bombay , biji bawang merah tipis , daun salam, gula merah, penyedap , minyak goreng, halus, biji cabe rawit, biji bawang putih, kunyit, jahe, kemiri, garam,"
gabus santan,"ikan gabus kocolan, bawang merah, bawang bombay , daun salam, cabe rawit , gula merah, penyedap rasa, liter santan kelapa , minyak goreng, daun kemangi , halus, biji cabe rawit, biji bawang putih, jahe, kunyit, kemiri,","gabus santan ikan gabus kocolan, bawang merah, bawang bombay , daun salam, cabe rawit , gula merah, penyedap rasa, liter santan kelapa , minyak goreng, daun kemangi , halus, biji cabe rawit, biji bawang putih, jahe, kunyit, kemiri,"
pampis tongkol,"besek tongkol pindang salem , btg daun bawang , lb daun jeruk , tangkai daun kemangi , btg daun sereh geprak, lb daun pandan , bawang merah, bawang putih, cabe merah keriting, cabe rawit, jahe, kunyit , gula, garam,","pampis tongkol besek tongkol pindang salem , btg daun bawang , lb daun jeruk , tangkai daun kemangi , btg daun sereh geprak, lb daun pandan , bawang merah, bawang putih, cabe merah keriting, cabe rawit, jahe, kunyit , gula, garam,"
pindang bandeng kuah kecap,"ikan bandeng , batang serai , daun salam , daun jeruk, kunyit , jahe , bawang merah , bawang putih , cabai rawit , cabai merah keriting , belimbing wuluh , kecap bango, garam, gula pasir, bks royco ayam, air, minyak menumis,","pindang bandeng kuah kecap ikan bandeng , batang serai , daun salam , daun jeruk, kunyit , jahe , bawang merah , bawang putih , cabai rawit , cabai merah keriting , belimbing wuluh , kecap bango, garam, gula pasir, bks royco ayam, air, minyak menumis,"
tuna asap kuah santan,"ikan tuna asap, santan kelapa, cabe hijau besar, cabe rawit, bawang putih, bawang merah, laos, petai, garam, gula pasir, royco sapi, gula merah,","tuna asap kuah santan ikan tuna asap, santan kelapa, cabe hijau besar, cabe rawit, bawang putih, bawang merah, laos, petai, garam, gula pasir, royco sapi, gula merah,"
pesmol ikan nila,"ikan nila mujair ukuran sedang, bawang merah, bawang putih, kunyit, jahe, cabai rawit, cabai besar, btr kemiri, haluskan diatas, serai geprek, lbr daun jeruk, lengkuas memarkan, cabai rawit utuh, garam. gula merica bubuk,","pesmol ikan nila ikan nila mujair ukuran sedang, bawang merah, bawang putih, kunyit, jahe, cabai rawit, cabai besar, btr kemiri, haluskan diatas, serai geprek, lbr daun jeruk, lengkuas memarkan, cabai rawit utuh, garam. gula merica bubuk,"
shirataki sarden (menu diet),"am shirataki basah, am sarden kaleng , cabai merah keriting, cabai rawit merah , bawang putih , bawang merah , jahe potong, olive oil, air, garam ,","shirataki sarden (menu diet) am shirataki basah, am sarden kaleng , cabai merah keriting, cabai rawit merah , bawang putih , bawang merah , jahe potong, olive oil, air, garam ,"
gurame asam manis pedas,"ikan gurame fillet, jeruk nipis, tepung bumbu, tepung terigu, saus, bawang merah, bawang putih, bawang bombay kecil, cabe keriting, cabe rawit, tomat kecil, paprika, saos tomat, saos sambal, gulagarammerica bubuk,","gurame asam manis pedas ikan gurame fillet, jeruk nipis, tepung bumbu, tepung terigu, saus, bawang merah, bawang putih, bawang bombay kecil, cabe keriting, cabe rawit, tomat kecil, paprika, saos tomat, saos sambal, gulagarammerica bubuk,"
ikan pari masak tauco pedas (iwak pe),"ikan pari asap, tauco, saori, bawang putih, bawang merah, daun bawang, laos , segenggam cabe rawit , tomat hijau, gula, garam, air, minyak menumis, kecap ,","ikan pari masak tauco pedas (iwak pe) ikan pari asap, tauco, saori, bawang putih, bawang merah, daun bawang, laos , segenggam cabe rawit , tomat hijau, gula, garam, air, minyak menumis, kecap ,"
pecel lele (tanpa msg),"lele , jeruk nipis, bawang putih, kunyit, ketumbar, garam, kaldu jamur bubuk, pelengkap , sesuai selera lalapan, sambal tomat,","pecel lele (tanpa msg) lele , jeruk nipis, bawang putih, kunyit, ketumbar, garam, kaldu jamur bubuk, pelengkap , sesuai selera lalapan, sambal tomat,"
mangut ikan layur,"ikan layur potong""goreng stngh mateng, bks santan instan, ltr air sesuai selera, ikat kemangi, btg serai geprek, ptg lengkuas geprek, lbr daun salam, lbr daun jeruk, cabe rawit untk taburan, garam+gula+kaldu bubuk, halus, btr bawang merah, btr bawang putih, merica, ketumbar, cm kunyit goreng sebentar, cm jahe, ptg kencur, btr kemiri,","mangut ikan layur ikan layur potong""goreng stngh mateng, bks santan instan, ltr air sesuai selera, ikat kemangi, btg serai geprek, ptg lengkuas geprek, lbr daun salam, lbr daun jeruk, cabe rawit untk taburan, garam+gula+kaldu bubuk, halus, btr bawang merah, btr bawang putih, merica, ketumbar, cm kunyit goreng sebentar, cm jahe, ptg kencur, btr kemiri,"
tenggiri grilled,"potong ikan tenggiri, saori lada hitam, saus tomat, saus cabai , saus tiram, olive oil memanggang,","tenggiri grilled potong ikan tenggiri, saori lada hitam, saus tomat, saus cabai , saus tiram, olive oil memanggang,"
gulai ikan tongkol,"ikan tongkolpotonggoreng sebentar, daun jerukdaun seretomatgulagarampenyedap, cabe rawit utuh, santan kara kecil, halus, bawang putih, bawang merah, cm kunyit, cabe rawit, butir kemiri, gelas air, minyak goreng utk menumis,","gulai ikan tongkol ikan tongkolpotonggoreng sebentar, daun jerukdaun seretomatgulagarampenyedap, cabe rawit utuh, santan kara kecil, halus, bawang putih, bawang merah, cm kunyit, cabe rawit, butir kemiri, gelas air, minyak goreng utk menumis,"
bawal mercon,"bawal, minyak goreng, ons cabe jablay, tomat, bawang merah, bawang putih, jeruk nipis, garam, penyedap rasa, gula merah,","bawal mercon bawal, minyak goreng, ons cabe jablay, tomat, bawang merah, bawang putih, jeruk nipis, garam, penyedap rasa, gula merah,"
steam ikan dory with enoki,"ikan dory fillet, air jeruk lemon, batang wortel cm, jamur enoki, batang daun bawang halus, bawang putihgoreng kering, bawang bombay halusgoreng kering, jahe halus, kecap asin, saus tiram, minyak wijen, garam, merica bubuk, kaldu ayam bubuk,","steam ikan dory with enoki ikan dory fillet, air jeruk lemon, batang wortel cm, jamur enoki, batang daun bawang halus, bawang putihgoreng kering, bawang bombay halusgoreng kering, jahe halus, kecap asin, saus tiram, minyak wijen, garam, merica bubuk, kaldu ayam bubuk,"
oseng tongkol,"keranjang tongkol uk sedang, ons buncis, wortel uk sedang, bawang merah, bawang putih, cabe rawit, cabe keriting, garam, kecap, merica,","oseng tongkol keranjang tongkol uk sedang, ons buncis, wortel uk sedang, bawang merah, bawang putih, cabe rawit, cabe keriting, garam, kecap, merica,"
pindang patin,"ikan patin, cabai rawit merah, bawang merah bawang putih, terasi, asem, gulagaram sasa suka, serehlengkuaskunyitjahe secukup nya, daun salam, kemangi daun bawang, tomat,","pindang patin ikan patin, cabai rawit merah, bawang merah bawang putih, terasi, asem, gulagaram sasa suka, serehlengkuaskunyitjahe secukup nya, daun salam, kemangi daun bawang, tomat,"
sarden balado,"kaleng ikan sarden, kentang , bumbu*, daun jeruk , cabe giling merah, bawang merah, bawang putih, tomat,","sarden balado kaleng ikan sarden, kentang , bumbu*, daun jeruk , cabe giling merah, bawang merah, bawang putih, tomat,"
tongkol kuah asam,"ikan tongkol, kotak tahu, bawang merah, bawang putih, lengkuas, batang sereh, kunyit, butir kemiri, daun salam, belimbing wuluh, garam, gula, penyedap rasa, air,","tongkol kuah asam ikan tongkol, kotak tahu, bawang merah, bawang putih, lengkuas, batang sereh, kunyit, butir kemiri, daun salam, belimbing wuluh, garam, gula, penyedap rasa, air,"
