Title,Ingridients,combined
pizza sardin,"doh, cup terigu, susu hangat, tsp yiest, tsp gula, tsp yiest, tsp gula, tsp garam, tbsp minyak sayur, sardin, biji ikan sardin pisahkan sos nya, biji bawang holand cincang, halus, bawang putih, bawang merah, biji cabe rawit, garam gula, tam , tbsp sos tomat, mozarela chees secukuo nya,","pizza sardin doh, cup terigu, susu hangat, tsp yiest, tsp gula, tsp yiest, tsp gula, tsp garam, tbsp minyak sayur, sardin, biji ikan sardin pisahkan sos nya, biji bawang holand cincang, halus, bawang putih, bawang merah, biji cabe rawit, garam gula, tam , tbsp sos tomat, mozarela chees secukuo nya,"
kepala ikan bawal kuah kuning,"kepala ikan bawal ukuran besar, jeruk nipis, tomat hijau , cabe rawit , batang seraimemarkan, air, halus , butir bawang merah, bawang putih, cm jahe, cm kunyit, butir kemiri, garamgulakaldu bubuk,","kepala ikan bawal kuah kuning kepala ikan bawal ukuran besar, jeruk nipis, tomat hijau , cabe rawit , batang seraimemarkan, air, halus , butir bawang merah, bawang putih, cm jahe, cm kunyit, butir kemiri, garamgulakaldu bubuk,"
ikan nila goreng saos padang,"ikan nila agk besar, jeruk nipis utk kucuran ikan, i bks racik ikan goreng, bawang bombay tipis, lmbr daun jeruk, bawang merah tipis, bawang putih tipis, cabe merah kriting tipis, cabe rawit tipis, daun bawang tipis jg, masako campur air hangat gelas kecil, stengah saos tiram, saos sambal, saos tomat, secukupny margarin, secukupny minyak zaitun klo ada,","ikan nila goreng saos padang ikan nila agk besar, jeruk nipis utk kucuran ikan, i bks racik ikan goreng, bawang bombay tipis, lmbr daun jeruk, bawang merah tipis, bawang putih tipis, cabe merah kriting tipis, cabe rawit tipis, daun bawang tipis jg, masako campur air hangat gelas kecil, stengah saos tiram, saos sambal, saos tomat, secukupny margarin, secukupny minyak zaitun klo ada,"
mayo hot sarden,"utama, kaleng sarden ""king fisher saus sambal"", kentang dadu, mayonaise, bon cabe level , air , minyak goreng, bawang merahpotong halus, bawang putihgeprek potong halus, garam, gula, halus, slice jahe potong haluskan, slice kunyit potong haluskan,","mayo hot sarden utama, kaleng sarden ""king fisher saus sambal"", kentang dadu, mayonaise, bon cabe level , air , minyak goreng, bawang merahpotong halus, bawang putihgeprek potong halus, garam, gula, halus, slice jahe potong haluskan, slice kunyit potong haluskan,"
suwir tongkol brokoli,"brokoli, ikan pindang tongkol , , bawang bombay, bwang putih, bawang merah, cabe merah, tomat, gula, garam, lada, air,","suwir tongkol brokoli brokoli, ikan pindang tongkol , , bawang bombay, bwang putih, bawang merah, cabe merah, tomat, gula, garam, lada, air,"
ikan mujair sambal pete,"ikan mujair lumuri jeruk nipis, terong ungupotong sesuai selera, petekupas dua, daun salam, daun jeruk, tomat merahpotong sesuai selera, garam, merica, gula, air, halus, bawang merah, bawang putih, biji kemiri, biji cabe merah keriting, biji cabe rawit merah,","ikan mujair sambal pete ikan mujair lumuri jeruk nipis, terong ungupotong sesuai selera, petekupas dua, daun salam, daun jeruk, tomat merahpotong sesuai selera, garam, merica, gula, air, halus, bawang merah, bawang putih, biji kemiri, biji cabe merah keriting, biji cabe rawit merah,"
ikan kembung balado,"ikan kembung, bks racik ikan goreng, halus , biji cabe merah keriting, biji cabe rawit merah, bawang merah, bawang putih, tomat merah, cm lengkuas , batang sereh , lbr daun salam, lbr daun jeruk , bks terasi kecil, garam, gula, penyedap, minyak goreng, air,","ikan kembung balado ikan kembung, bks racik ikan goreng, halus , biji cabe merah keriting, biji cabe rawit merah, bawang merah, bawang putih, tomat merah, cm lengkuas , batang sereh , lbr daun salam, lbr daun jeruk , bks terasi kecil, garam, gula, penyedap, minyak goreng, air,"
asem asem lele,"lele, baput, bamer, santan, cabe, air asam jawa, tomat,","asem asem lele lele, baput, bamer, santan, cabe, air asam jawa, tomat,"
tongkol suwir,"ikan tongkol panggangsuwir suwir, bawang merah, bawang putih, cabe keriting , kunyit, daun jeruksobek sobek, seraidigeprak, cm jahedigeprak, pandan, garam & gula, minyak menumis,","tongkol suwir ikan tongkol panggangsuwir suwir, bawang merah, bawang putih, cabe keriting , kunyit, daun jeruksobek sobek, seraidigeprak, cm jahedigeprak, pandan, garam & gula, minyak menumis,"
ikan selar sarden,"ikan selar, bawang merah, bawang putih, tomat ukuran besar, daun salam, daun jeruk, jahe, serai, kaldu ayam non msg, saos tomat homemade,","ikan selar sarden ikan selar, bawang merah, bawang putih, tomat ukuran besar, daun salam, daun jeruk, jahe, serai, kaldu ayam non msg, saos tomat homemade,"
cekodok sarden,"kaleng sarden saus tomat, cup tepung terigu, baking powder, telur ayam, wortel, daun bawang, cabe merah, bawang putih, bawang merah, jahe, gula garam merica, air es,","cekodok sarden kaleng sarden saus tomat, cup tepung terigu, baking powder, telur ayam, wortel, daun bawang, cabe merah, bawang putih, bawang merah, jahe, gula garam merica, air es,"
ikan kembung rica rica,"ikan kembung, ikan , bawang putih giling, jeruk nipis, cm kunyit giling, garam, halus , bawang putih, bawang merah, cm jahe, cm kunyit, bawang bombay, cabe rawit, daun salam, daun bawang batangnya saja, saori saos tiram,","ikan kembung rica rica ikan kembung, ikan , bawang putih giling, jeruk nipis, cm kunyit giling, garam, halus , bawang putih, bawang merah, cm jahe, cm kunyit, bawang bombay, cabe rawit, daun salam, daun bawang batangnya saja, saori saos tiram,"
ikan sarden kalengan,"kaleng sardenbukakucurin air jeruk kunci lemon diamkan saat, lbr daun salamsobek"", lbr daun jeruksobek"", lengkuaskupas keprek, jahekupas keprek, btg serai ambil putih memarkan, bawang putih tipis, butir bawang merah tipis, gula pasir, garam, batang daun bawang serong, cabe merahbuang biji serong sy gak pakai, btr telor dadar rawis kali gak pakaiabis, minyak,","ikan sarden kalengan kaleng sardenbukakucurin air jeruk kunci lemon diamkan saat, lbr daun salamsobek"", lbr daun jeruksobek"", lengkuaskupas keprek, jahekupas keprek, btg serai ambil putih memarkan, bawang putih tipis, butir bawang merah tipis, gula pasir, garam, batang daun bawang serong, cabe merahbuang biji serong sy gak pakai, btr telor dadar rawis kali gak pakaiabis, minyak,"
somay ikan tuna,"ikan tuna, tepung tapioka, tepung terigu, butir putih telur, bawang putih, merica, garam, kacang, kacang tanah , bawang putih, biji cabe rawit , garam, gula jawa, daun jeruk, pelengkap, kentang , kubis ,","somay ikan tuna ikan tuna, tepung tapioka, tepung terigu, butir putih telur, bawang putih, merica, garam, kacang, kacang tanah , bawang putih, biji cabe rawit , garam, gula jawa, daun jeruk, pelengkap, kentang , kubis ,"
tuna lapis oat,"tuna potong bulat, garam, merica, pala bubuk, garlic powder, jeruk nipis lemon, pelapis , tepung terigu, telur dikocok, oat,","tuna lapis oat tuna potong bulat, garam, merica, pala bubuk, garlic powder, jeruk nipis lemon, pelapis , tepung terigu, telur dikocok, oat,"
"nila panggang kemangi nyemek,","bj ikan nila panggang +tahu goreng dulu, bawang putih, bawang merah, bj lombok besar, bj lombok kecil, bj lombok ijo ale, daun kemangi, tomat t i,","nila panggang kemangi nyemek, bj ikan nila panggang +tahu goreng dulu, bawang putih, bawang merah, bj lombok besar, bj lombok kecil, bj lombok ijo ale, daun kemangi, tomat t i,"
pempek tengiri,"daging tengiri, air es, garam, gula, bawang putih, tepung sagu,","pempek tengiri daging tengiri, air es, garam, gula, bawang putih, tepung sagu,"
nila goreng gurih,"ikan nila segar, air jeruk nipis , scht lada bubuk, bawang putih geprek, garam, minyak goreng,","nila goreng gurih ikan nila segar, air jeruk nipis , scht lada bubuk, bawang putih geprek, garam, minyak goreng,"
ikan tongkol masak lemak kemangi,"ptg ikan tongkol , santan , air, yg haluskan , cabe merah besar, bawang merah, bawang putih, kemiri, jahe, garam, penyedap rasa, gula pasir, pelengkap , btg serai, lbr daun salam, lengkuas, cabe rawit, sesuai selera daun kemangi,","ikan tongkol masak lemak kemangi ptg ikan tongkol , santan , air, yg haluskan , cabe merah besar, bawang merah, bawang putih, kemiri, jahe, garam, penyedap rasa, gula pasir, pelengkap , btg serai, lbr daun salam, lengkuas, cabe rawit, sesuai selera daun kemangi,"
tuna steamed,"am tuna fillet, am buncis, lemon slice tipis, butir bawang bombay cincang, oregano, lada, garam, olive oil, alumunium oil,","tuna steamed am tuna fillet, am buncis, lemon slice tipis, butir bawang bombay cincang, oregano, lada, garam, olive oil, alumunium oil,"
gulai ikan tongkol,"ikan tongkol, ikat kacang panjang, ikat daun kemangi, papan tempe potong , lbr daun jeruk, sereh, daun salam, halus , bawang merah, bawang putih, jahe, kunyit, kemiri, cabe, garamgulapenyedap,","gulai ikan tongkol ikan tongkol, ikat kacang panjang, ikat daun kemangi, papan tempe potong , lbr daun jeruk, sereh, daun salam, halus , bawang merah, bawang putih, jahe, kunyit, kemiri, cabe, garamgulapenyedap,"
tuna sambal goreng,"kaleng tuna sambal goreng, bawang bombay, cabe rawit , daun jeruk, garamgula penyedap,","tuna sambal goreng kaleng tuna sambal goreng, bawang bombay, cabe rawit , daun jeruk, garamgula penyedap,"
balado tongkol terong (torong),"pindang tongkol, pcs terong, garam, gula, bubuk kaldu ayam, halus, cabe keriting merah, cabe rawit, pcs cabe merah tanjung besar, bawang merah, bawang putih,","balado tongkol terong (torong) pindang tongkol, pcs terong, garam, gula, bubuk kaldu ayam, halus, cabe keriting merah, cabe rawit, pcs cabe merah tanjung besar, bawang merah, bawang putih,"
mangut ikan gabus,"ikan gabus segar bersihkan sisik nya, jeruk nipis, cabe hijau teropong , cabe rawit , bawang merah, bawang putih, kemiri, cc santan kental , batang serai memarkan, lengkuas memarkan, daun jeruk purut, jahe memarkan, garam, gula merah secukup nya, cc minyak goreng,","mangut ikan gabus ikan gabus segar bersihkan sisik nya, jeruk nipis, cabe hijau teropong , cabe rawit , bawang merah, bawang putih, kemiri, cc santan kental , batang serai memarkan, lengkuas memarkan, daun jeruk purut, jahe memarkan, garam, gula merah secukup nya, cc minyak goreng,"
kembung pesmol,"ikan kembung, halus, bawang merah, bawang putih, butir kemiri, kunyit, jahe seujung , sendok gula pasir, sm cuka, tomat, kasar, sereh, daun salam, wortel , butir cabai rawit, tomat,","kembung pesmol ikan kembung, halus, bawang merah, bawang putih, butir kemiri, kunyit, jahe seujung , sendok gula pasir, sm cuka, tomat, kasar, sereh, daun salam, wortel , butir cabai rawit, tomat,"
nugget ikan tuna,"ikan tuna ikan dori, bawang putih , keju parut, wortel parut, tepung panir, lada , kaldu ayam, btr telur ayam,","nugget ikan tuna ikan tuna ikan dori, bawang putih , keju parut, wortel parut, tepung panir, lada , kaldu ayam, btr telur ayam,"
spageti tuna keju,"pc spageti, ikan tuna segar, bawang putih, bawang merah, cabe merah keriting, tomat, seledri & daun bawang, garam, merica, minya goreng, sesuai selera keju,","spageti tuna keju pc spageti, ikan tuna segar, bawang putih, bawang merah, cabe merah keriting, tomat, seledri & daun bawang, garam, merica, minya goreng, sesuai selera keju,"
tongkol balado simpel,"cabai merah, cabai rawit cabai setan, bawang merah, ikan tongkol tulang. rb , gula, garam, royco,","tongkol balado simpel cabai merah, cabai rawit cabai setan, bawang merah, ikan tongkol tulang. rb , gula, garam, royco,"
nuget ikat patin ala mbak am,"ikan patin, merica bubuk, penyedap rasa, garam, wortel , bawang putih , butir telur, minyak ,","nuget ikat patin ala mbak am ikan patin, merica bubuk, penyedap rasa, garam, wortel , bawang putih , butir telur, minyak ,"
nila goreng cabe ijo,"ikan nila, tepung sajiku ayam kentucky, cabe rawit, bawang putih, minyak goreng, penyedap, garam,","nila goreng cabe ijo ikan nila, tepung sajiku ayam kentucky, cabe rawit, bawang putih, minyak goreng, penyedap, garam,"
tongkol balado rawit,"am ikan tongkol, cabe merah keriting, cabe rawit merah, bawang merah, bawang putih, jahe, lengkuas, daun salam, tomat,","tongkol balado rawit am ikan tongkol, cabe merah keriting, cabe rawit merah, bawang merah, bawang putih, jahe, lengkuas, daun salam, tomat,"
tuna goreng crispy saus teriyaki,"potong tuna kotak , sachet tepung crispy ayam, sachet saus teriyaki, bawang bombay,","tuna goreng crispy saus teriyaki potong tuna kotak , sachet tepung crispy ayam, sachet saus teriyaki, bawang bombay,"
tongkol suwir pedas manis💓,"ikan tongkol, bumbu, bawang merah, bawang putih, biji asam jawa, sesuai selera cabe rawitcabe merah besarcabe hijau besar, tomat, garam, gula merah sisir, penyedap, kecap manis, air,","tongkol suwir pedas manis💓 ikan tongkol, bumbu, bawang merah, bawang putih, biji asam jawa, sesuai selera cabe rawitcabe merah besarcabe hijau besar, tomat, garam, gula merah sisir, penyedap, kecap manis, air,"
tumis terong+ sarden,"terong ungu, kaleng sarden, cabe merah, cabe rawit, bawang merah, bawang putih, jahe geprek, cabe hijau , garam, gula,","tumis terong+ sarden terong ungu, kaleng sarden, cabe merah, cabe rawit, bawang merah, bawang putih, jahe geprek, cabe hijau , garam, gula,"
ikan tongkol balado,"ikan tongkol , daun jeruk, minyak menumis, garam, halus, bawang merah, bawang putih, cabe merah keriting, cabe rawit setan , tomat besar, gula merah,","ikan tongkol balado ikan tongkol , daun jeruk, minyak menumis, garam, halus, bawang merah, bawang putih, cabe merah keriting, cabe rawit setan , tomat besar, gula merah,"
lodeh tongkol pedas,"potong tongkol, tahu, halus, bawang merah, bawang putih, kemiri, cm kunyit, merica, ketumbar, cabe merah, cabe , garam gula, sachet santan kara, daun salam, daun serai geprek,","lodeh tongkol pedas potong tongkol, tahu, halus, bawang merah, bawang putih, kemiri, cm kunyit, merica, ketumbar, cabe merah, cabe , garam gula, sachet santan kara, daun salam, daun serai geprek,"
ikan tongkol cuwe cabe ijo,"ikan tongkol potong keranjangbersihkan, bumbu, butir bawang merah, butir bawang putih, cabe ijo besar, cabe rawit ijo, tomat ijo, laosdaun salam daun jeruk, saos tiramkecap manisgaramgula merah pasir,","ikan tongkol cuwe cabe ijo ikan tongkol potong keranjangbersihkan, bumbu, butir bawang merah, butir bawang putih, cabe ijo besar, cabe rawit ijo, tomat ijo, laosdaun salam daun jeruk, saos tiramkecap manisgaramgula merah pasir,"
ikan tuna asam manis,"ikan tunakalo beli yg udah plastikin tukang sayur, bawang bombay, bawang merah, bawang putih, air, gula, garam, saos sambal abc, saori saus tiram,","ikan tuna asam manis ikan tunakalo beli yg udah plastikin tukang sayur, bawang bombay, bawang merah, bawang putih, air, gula, garam, saos sambal abc, saori saus tiram,"
pepes (pais) patin,", bawang merah, bawang putih, kemiri, terasi, cabe merah besar, gula, garam, penyedap, lada, isian , cabe merah besar, cabe hijau besar, tomat, daun pisang , potong ikan patin, tusuk gigi,","pepes (pais) patin , bawang merah, bawang putih, kemiri, terasi, cabe merah besar, gula, garam, penyedap, lada, isian , cabe merah besar, cabe hijau besar, tomat, daun pisang , potong ikan patin, tusuk gigi,"
oseng tongkol pedas,"am ikan tongkolambil daging nya saja, cabe hijau besar, cabe rawit merah, bawang bombay, bawang merah, bawang putih, kaldu bubuk, gula pasir, tomat, minyak goreng,","oseng tongkol pedas am ikan tongkolambil daging nya saja, cabe hijau besar, cabe rawit merah, bawang bombay, bawang merah, bawang putih, kaldu bubuk, gula pasir, tomat, minyak goreng,"
bandeng presto balado,"bandeng presto , bawang putih, bawang merah, cabe merah besar, jahe, air, minyak menumis, garam, gula pasir,","bandeng presto balado bandeng presto , bawang putih, bawang merah, cabe merah besar, jahe, air, minyak menumis, garam, gula pasir,"
pindang asem tongkol,"ikan tongkol ikan selar, bulat gula merah, asem, cabe rawit, garam, air, sere,","pindang asem tongkol ikan tongkol ikan selar, bulat gula merah, asem, cabe rawit, garam, air, sere,"
ikan tongkol cue tumis cabe,"ikan tongkol cue, segenggam cabe ijo, segenggam cabe rawit, bawang putih, bawang merah, sendok saus tiram, garam, gula, kaldu bubuk,","ikan tongkol cue tumis cabe ikan tongkol cue, segenggam cabe ijo, segenggam cabe rawit, bawang putih, bawang merah, sendok saus tiram, garam, gula, kaldu bubuk,"
chunky tuna ala dee🌸,"chunky tuna kaleng, bawang putih cincang kasar, bawang bombay cincang kasar, btg bawang daun kecil, cabe rawit merah kecil, minyak goreng, gara adaroycogula pasir, italian herbs, minyak ikan,","chunky tuna ala dee🌸 chunky tuna kaleng, bawang putih cincang kasar, bawang bombay cincang kasar, btg bawang daun kecil, cabe rawit merah kecil, minyak goreng, gara adaroycogula pasir, italian herbs, minyak ikan,"
pesmol gurame,"gurame , mentimunpotong korek, wortelpotong korek, sesuai selera cabai rawit, jeruk nipisperas airnya, daun jeruk, daun salam, gula pasir, garam, merica, halus, bawang merah, bawang putih, butir kemiri, batang serai, jahe, kunyit, lengkuas,","pesmol gurame gurame , mentimunpotong korek, wortelpotong korek, sesuai selera cabai rawit, jeruk nipisperas airnya, daun jeruk, daun salam, gula pasir, garam, merica, halus, bawang merah, bawang putih, butir kemiri, batang serai, jahe, kunyit, lengkuas,"
ikan sarden campur telur ala anak kosan,"kaleng sarden , butir telur, bawang bombay, penyedap gula,","ikan sarden campur telur ala anak kosan kaleng sarden , butir telur, bawang bombay, penyedap gula,"
mangut ikan phe (pari),"japit ikan phe , butir bawang putih, butir bawang merah, helai kemangi, sun kara , biji cabe rawit utuh, gara adagula penyedap rasa,","mangut ikan phe (pari) japit ikan phe , butir bawang putih, butir bawang merah, helai kemangi, sun kara , biji cabe rawit utuh, gara adagula penyedap rasa,"
sarden kuah asam,"ikan sarden , belimbing wuluh, bawang merah, bawang putih, cabe rawit, pete, laos , garam, gula, minyak goreng, gelas air, halus , bawang merah, bawang putih, cabe merah, butir kemiri,","sarden kuah asam ikan sarden , belimbing wuluh, bawang merah, bawang putih, cabe rawit, pete, laos , garam, gula, minyak goreng, gelas air, halus , bawang merah, bawang putih, cabe merah, butir kemiri,"
gabus asin sambal pete,"papan pete, am ikan asin gabus, bawang merah, bawang putih, am cabai rawit, cabai merah, tomat, jeruk limo, sendok gula putih, secukup royco ayam, garam,","gabus asin sambal pete papan pete, am ikan asin gabus, bawang merah, bawang putih, am cabai rawit, cabai merah, tomat, jeruk limo, sendok gula putih, secukup royco ayam, garam,"
gurame crispy saus tiram brokoli,"gurame, tepung kobe, brokoli, jeruk nipis, saus , cabe setan, bawang putih, bawang merah, cm jahe, bawang bombay, saset saus tiram, saset mentega, kecap, lada bubuk, garam, penyedap , air ,","gurame crispy saus tiram brokoli gurame, tepung kobe, brokoli, jeruk nipis, saus , cabe setan, bawang putih, bawang merah, cm jahe, bawang bombay, saset saus tiram, saset mentega, kecap, lada bubuk, garam, penyedap , air ,"
ikan bawal sambel mata+kecap ala bumill aziiipppp,"ikan mujair, bawang merah, cabe setan, tomat, jeruk nipis, garam, kecap, minyak sayur ,","ikan bawal sambel mata+kecap ala bumill aziiipppp ikan mujair, bawang merah, cabe setan, tomat, jeruk nipis, garam, kecap, minyak sayur ,"
ikan kembung balado maknyos,"ikan kembung, minyak, dihaluskan , pcs cabai merah, pcs cabai rawit orange, bawang merah, siuang bawang putih, tomat ukuran sedang, kemiri san ai, tam , helai daun jeruk, pcs jeruk nipis, sendok teh gula merah, penyedap ,","ikan kembung balado maknyos ikan kembung, minyak, dihaluskan , pcs cabai merah, pcs cabai rawit orange, bawang merah, siuang bawang putih, tomat ukuran sedang, kemiri san ai, tam , helai daun jeruk, pcs jeruk nipis, sendok teh gula merah, penyedap ,"
fillet gurame saos pedas manis,"ikan gurame ukuran besar, jeruk nipis, sisakan kerangka ikannya, tepung sajiku, saos, saos tomat, saos sambel, saori saos tiram, bawang bombai potong memanjang, bawang merah, bawang putih, cabe merahpotong serong, cabe rawit potong halus, maizenalarutkan air, batang daon bawang potong serong, gelas air, merica bubuk, garam,","fillet gurame saos pedas manis ikan gurame ukuran besar, jeruk nipis, sisakan kerangka ikannya, tepung sajiku, saos, saos tomat, saos sambel, saori saos tiram, bawang bombai potong memanjang, bawang merah, bawang putih, cabe merahpotong serong, cabe rawit potong halus, maizenalarutkan air, batang daon bawang potong serong, gelas air, merica bubuk, garam,"
nasi goreng cakalang,"biji bawang putih, biji bawang merah, biji cabe merah, nasi putih, mentega minyak kelapa , ikan cakalang, garam , penyedap , kecap manis,","nasi goreng cakalang biji bawang putih, biji bawang merah, biji cabe merah, nasi putih, mentega minyak kelapa , ikan cakalang, garam , penyedap , kecap manis,"
tongkol balado,"ikan tongkol potong potong kepalanya gak pakaidan bumbui kuning, daging sapi potong dadu, halus, cabe merah keriting, cabe merah besar, bawang merah, terasi matang, garam, masako sapi, gula pasir, cuka masak, minyak sayur ikan menumis sambal,","tongkol balado ikan tongkol potong potong kepalanya gak pakaidan bumbui kuning, daging sapi potong dadu, halus, cabe merah keriting, cabe merah besar, bawang merah, terasi matang, garam, masako sapi, gula pasir, cuka masak, minyak sayur ikan menumis sambal,"
ikan kembung goreng saus tauco,"ikan kembung goreng, buncis potong kecil, cabe hijau, tomat, daun bawang potong kecil, bawang putih, cabe rawit , saus tauco asin, saus tiram, lada, kecap manis, tepung maizena, ai putih, minyak goreng,","ikan kembung goreng saus tauco ikan kembung goreng, buncis potong kecil, cabe hijau, tomat, daun bawang potong kecil, bawang putih, cabe rawit , saus tauco asin, saus tiram, lada, kecap manis, tepung maizena, ai putih, minyak goreng,"
bawal bakar pedas,"ikan bawal ukuran besar, halus , bawang putih, jahe, garam, olesan , kemiri, bawang putih, bawang merah, cabe merah keriting, cabe rawit, jahe, kunyit, merica bubuk, tomat ukuran sedang, gula garam, batang sereh keprek mengoleskan ,","bawal bakar pedas ikan bawal ukuran besar, halus , bawang putih, jahe, garam, olesan , kemiri, bawang putih, bawang merah, cabe merah keriting, cabe rawit, jahe, kunyit, merica bubuk, tomat ukuran sedang, gula garam, batang sereh keprek mengoleskan ,"
ikan patin asam padeh (pedas),"ons ikan patin , bawang merah , bawang putih , kuning , bawang putih giling halus , cabe merah giling halus , cabe ijo , asam kandis , helai daun salam, helai daun jeruk, helai daun kunyit, batang sereh , garam, ltr air,","ikan patin asam padeh (pedas) ons ikan patin , bawang merah , bawang putih , kuning , bawang putih giling halus , cabe merah giling halus , cabe ijo , asam kandis , helai daun salam, helai daun jeruk, helai daun kunyit, batang sereh , garam, ltr air,"
bandeng masak santan pedas,"ikan bandeng, bj kulit, bks santan instan, bumbu, bawang merah, bawang putih, cabe merah keriting, cabe rawit setan, tomat hijau, salamserehlengkuas, gulagaramkecap,","bandeng masak santan pedas ikan bandeng, bj kulit, bks santan instan, bumbu, bawang merah, bawang putih, cabe merah keriting, cabe rawit setan, tomat hijau, salamserehlengkuas, gulagaramkecap,"
gulai ikan gurami,"ikan gurami, santan, cabe rawit, bawang merah, bawang putih, jahe, lengkuas, batang sereh, kunyit, daun jeruk, keping asam gelugur, minyak goreng, air, garam,","gulai ikan gurami ikan gurami, santan, cabe rawit, bawang merah, bawang putih, jahe, lengkuas, batang sereh, kunyit, daun jeruk, keping asam gelugur, minyak goreng, air, garam,"
sarden pindang tongkol iris,"pintang tongkol goreng buang durix potong"" selera, , bawang merah, bawang putih, cabe hijau ale rp, cabe rawit, btg bunga bawang pot. cm, tomat, saos tomat, saos sambal, gulagaram & royco, kecap manis, air,","sarden pindang tongkol iris pintang tongkol goreng buang durix potong"" selera, , bawang merah, bawang putih, cabe hijau ale rp, cabe rawit, btg bunga bawang pot. cm, tomat, saos tomat, saos sambal, gulagaram & royco, kecap manis, air,"
salmon cream blackpepper,"salmon, jamur shitake , dus fettucini , cabe rawit merah, sendok lada hitam bubuk, susu full cream, keju parut, daun bayam , bawang bombay, bawang putih, margarin, penyedap jamur ,","salmon cream blackpepper salmon, jamur shitake , dus fettucini , cabe rawit merah, sendok lada hitam bubuk, susu full cream, keju parut, daun bayam , bawang bombay, bawang putih, margarin, penyedap jamur ,"
sushi tuna pedas,"tuna kaleng, nori yg besar, ketimun, wortel, kol, cabe rawit merah, bawang putih, maseko kaldu jamur secukup nya, garam, gula, minyak menumis, centong nasi, cuka jeruk nipis,","sushi tuna pedas tuna kaleng, nori yg besar, ketimun, wortel, kol, cabe rawit merah, bawang putih, maseko kaldu jamur secukup nya, garam, gula, minyak menumis, centong nasi, cuka jeruk nipis,"
balado ikan pari asap,"ikan asap aja , minyak menumis, air, gula putih jawa, cabe merah, cabe rawit, bawang putih, bawang merah, cm jahe, lmbar daun jeruk, garam, penyedap rasa,","balado ikan pari asap ikan asap aja , minyak menumis, air, gula putih jawa, cabe merah, cabe rawit, bawang putih, bawang merah, cm jahe, lmbar daun jeruk, garam, penyedap rasa,"
sarden balado,"kaleng sarden mackerel, ons cabe keritinggiling halus, bawang merah tipis, tomatpotong memanjang, jeruk nipisambil airnya, garam, minyak , tam , kentangpotong memanjang,","sarden balado kaleng sarden mackerel, ons cabe keritinggiling halus, bawang merah tipis, tomatpotong memanjang, jeruk nipisambil airnya, garam, minyak , tam , kentangpotong memanjang,"
ikan kuwe merah merona,"ikan kuwe ukuran sedang, tomat , cabai merah , daun salam, lengkuas , batang serai , air asam jawa, gelas air , minyak menumis, haluskan , bawang putih, bawang merah, cabai rawit, ketumbar, kunyit, jahe, sejumput garam,","ikan kuwe merah merona ikan kuwe ukuran sedang, tomat , cabai merah , daun salam, lengkuas , batang serai , air asam jawa, gelas air , minyak menumis, haluskan , bawang putih, bawang merah, cabai rawit, ketumbar, kunyit, jahe, sejumput garam,"
ikan mas terbang sambal dabu dabu,"ikan mas, lemon, garam, lada, bawang putih bubuk, cabe merah, tomat merah, bawang merah,","ikan mas terbang sambal dabu dabu ikan mas, lemon, garam, lada, bawang putih bubuk, cabe merah, tomat merah, bawang merah,"
patin asam pedas,"ikan patin, tomat, cabe rawit, jeruk nipis, bawang merah, bawang putih, air, gula garam, penyedap rasa, merica bubuk, daun kemangi,","patin asam pedas ikan patin, tomat, cabe rawit, jeruk nipis, bawang merah, bawang putih, air, gula garam, penyedap rasa, merica bubuk, daun kemangi,"
mangut lele & tempe,"lele , papan tempe , bawang putih, bawang merah, butir kemiri san ai, kunyit bakar, cabe merah, cabe rawit, kencur, lbr daun salam, santan sedang, air, gula garam kaldu bubuk,","mangut lele & tempe lele , papan tempe , bawang putih, bawang merah, butir kemiri san ai, kunyit bakar, cabe merah, cabe rawit, kencur, lbr daun salam, santan sedang, air, gula garam kaldu bubuk,"
garang asem patin,"ikan patin potong , bawang putih, butir kemiri, ketumbar, daun bawang, bawang bombay, tomat, cabai rawit merah, cabai hijau, santan kelapa, daun salam lengkuas,","garang asem patin ikan patin potong , bawang putih, butir kemiri, ketumbar, daun bawang, bawang bombay, tomat, cabai rawit merah, cabai hijau, santan kelapa, daun salam lengkuas,"
pepes tuna kemangi,"tuna potong , bumbu, butir bawang merah, bawang putih, butir kemiri, cabe besar, cabe kecil, tomat, jahe, kunyit, terasi bakar, secukupny garam, pelengkap, kemangi, daun salam, daun pisang,","pepes tuna kemangi tuna potong , bumbu, butir bawang merah, bawang putih, butir kemiri, cabe besar, cabe kecil, tomat, jahe, kunyit, terasi bakar, secukupny garam, pelengkap, kemangi, daun salam, daun pisang,"
lele kuah pedas,"ikan lele, bawang merah, bawang putih, bj cabe merah besar, bj cabai rawit, daun jeruk, lengkuas, santan kara, gelas air, bks kaldu jamur , gula & garam,","lele kuah pedas ikan lele, bawang merah, bawang putih, bj cabe merah besar, bj cabai rawit, daun jeruk, lengkuas, santan kara, gelas air, bks kaldu jamur , gula & garam,"
ikan bawal sauce padang,"ekot ikan bawal sedang...bersihkan, cabe merah keriting...haluskan, cabe rawit merah.... , bawang merah...cincang halus, bawang putih cincang halus, bawang bombay ukuran sdang.... , saset sauce tiram, saset sauce cabe ekstra pedas, saset sauce tomat, tepung maizena, air, minyak goreng,","ikan bawal sauce padang ekot ikan bawal sedang...bersihkan, cabe merah keriting...haluskan, cabe rawit merah.... , bawang merah...cincang halus, bawang putih cincang halus, bawang bombay ukuran sdang.... , saset sauce tiram, saset sauce cabe ekstra pedas, saset sauce tomat, tepung maizena, air, minyak goreng,"
