Title,Ingredients,Loves,User
tongseng ati ampela ayam,"potong hati ampela ayam dibalut usus, minyak goreng, air, bawang putih, bawang merah, cabe rawit, cabe merah keriting, butir kemiri, ketumbar bubuk, jahe, lengkuas geprek, daun salam, lada, garam, penyedap, kecap manis, sejumput pala bubuk,",3,68
ayam penyet ala sy,"ayam potong cuci bersh, ktumbar bbuk, bwg puth, bwg merah, laus, lmbr daun salm, garam, jeruk nipis, n sambl ulek, cabe merahcabe rawit, tomat merah besar, terasi bkar, jeruk nipis jeruk limau,",6,69
broccoli rice with illed chicken,"bonggol brokoli ukuran besar, dada ayam , jamur king oyster , kentang , bawang putih cincang , gara hitamgula vetsin , rosemary thyme kering,",8,70
ayam goreng kremes renyah + sambal trasi,"kilo ayam potong , daun salam, batang sereh, daun jeruk, santan , minyak , dihaluskan, j bawang putih, siun bawang meraih, ketumbar bubuk, merica bubuk, kemiri, kunyit, gula, garam, kremes, air rebusan ayam , g tepung sagu , tepung beras, butir telur utuh, baking powder double acting , gula garam, sambal terasi, cabe merah , cabe merah, bawamg putih, bawang merah, tomat ukuran sedang, terasi, gula garam,",10,71
balado ayam,"fillet ayam , biji bawang bombay, cabe kering, halus, gula, bunga kapulaga,",0,72
mie ayam,"ayam fillet, ceker ayam, suka tetelan ayam, minyak ayam , kulit ayam, minyak goreng, bawang putih cincang, tam , mie kuning, ikat sawi, daun bawang, daun seledri, batang serai geprek, daun jeruk, daun salam, laos geprek, bawang goreng, kecap manis, kecap asin, sambal , cabe rawit, bawang putih, dihaluskan , bawang merah, bawang putih, jahe, kunyit, kemiri, merica bubuk,",7,73
"chicken wings ""saori"" super simple","sayap ayam, bawang putih, saori saus tiram, saori saus teriyaki, lada,",3,74
tim ayam bawang,"ayam potong sesuai selera , bawang merah tipis, bawang putih tipis, batang daun bawang potong serong, bawang bombay ukuran sedang, jahe, penyedap ayam secukup nya,",6,75
ayam richeese saos fire & keju,"adonan ayam crispy, tepung , sayap ayam, telur ayam kocok lepas, saos fire, saos sambal, saos tomat, saos barbeque , minyak wijen, saos tiram, bawang putih geprek, bon cabe, kecap manis, saos keju, susu uht full cream, keju parut chedar, maizena , margarin,",7,76
sup kembang tahu+bakso ayam,"am kembang kering, wortel potong dadu, ceker ayam, bakso ayam, ltr air, garam merica, daun bawang,",13,77
ayam jamur barbecue,"sayap ayam, jamur campion, bawang bombay, bawang putih, sendok makan saus kikoman, sendok makan saus tiram, sendok makan saus barbecue, sendok makan kecap manis, sejumput merica garam, minyak , air,",2,78
ayam kuning,"sayap ayam potong , kelapa parut, bawang merah, bawang putih, kunyit bubuk cm kunyit, garam, merica, biji pala bubuk, air, minyak goreng, batang sereh , salam, cm lengkuas ,",7,79
semur ati ayamtelur puyuhtahu,"ati ayam , butir telur puyuhrebus kupas, tahupotong melintang goreng , tomatpotong potong, serehambil putihnyageprek, daun salam, cm lengkuas geprek, minyak goreng, kecap manis, gula merahgara ada, air, halus, bawang merah, bawang putih, cm jahe, cm kunyit, butir kemiri, cabai keriting,",6,80
soto ayam kampung,"ayam kampung, batang serai geprek, daun jeruk, daun seledri, daun bawang, bawang goreng, jeruk nipis, yg dihaluskan , bawang merah, bawang putih, kunyit, jahe, laos, merica bubuk, pelengkap, bihun soun, gubis, kecambah,",8,81
mie ayam by dapur mama r&m,"ayam , mie telor, pokcoy, daun bawang, daun salam, air, gula, garam, kecap, penyedap , bawang putih, bawang putih , bawang merah, ketumbar, butir kemiri, kunyit, lada bubuk,",2,82
steak ayam saos lada hitam,"filetan dada ayam, ayamnya , lada hitam, royco ayam, bubuk bawang putih, tepung , am tepung, lada, royco, bawang putih, butir telur , minyak , wijen san ai hiasan, wortelkentangbuncis lalapan, saos , saos tiram, bawang bombay, bawang putuh, royco, gulpas, lada hitam bubuk, larutan meizena, gelas air,",1,83
