Title,Ingredients,Loves,User
iga kambing dipenyet sambel,"iga kambing , bawang putih, butir kemiri, daun salam, gulagaram & ketumbar bubuk,",2,4932
kambing bbq sederhana,"daging kambing tipi , bawang bombay tipis, jeruk nipis, bawang merah, bawang putihgeprek cincang, sejumput garam, margarin, air, saus bbq delmonte, saos tomat, saus sambal,",1,4933
kambing masak kecap,"am daging kambing, bawang putih , tangkai bawang prei , cabe rawit , cabe merah , tomat , jahe , lengkuas , batang serai , daun jeruk purut, jeruk nipis, kecap manis, air,",1,4934
goreng arab kambing sapi,"am daging kambing sapi, bawang merah, putih, batang sereh, cm kunyit, cm jahe, daun salam, tomat, cabai rawit pedas, cabai rawit, air, kaldu penyedap, garam,",4,4935
tongseng kambing,"daging kambing, bawang merah, bawang putih, cabai merah besar, cabai rawit, tomat, daun bawang, batang sereh, daun salam, sayur kol, blueband, minyak, lada hitam, lada putih, bubuk jinten, kecap ing is, garam, gule, air,",0,4936
nasi goreng kambing pedas,"daging kambing potong dadu, porsi nasi, sayuran sawi & kol, butir telur, halus , bawang putih, bawang merah, cabe rawit setan, cabe rawit hijau, cabe kriting merah, tam , masakogaramkecap,",2,4937
sate kambing lontong,"daging kambing gajeh, bawang putih , sachet kaldu , kecap manis, kacang tanah goreng, bawang putih, bawang merah, petis, kecap manis,",2,4938
nasi mandhi daging kambing praktis,"daging kambing, beras, liter air, bawang bombay, kayu manis uk.sedang, cengkeh, blue band menumis, halus , kapulaga, bawang putih, jahe uk. telunjuk, kunyit uk.½ telunjuk, merica bubuk, sejumput jintan, garam, sejumput gula, pelengkap , bawang goreng, nanas segar,",47,4939
sate daging kambing,"daging kambing, margarin + kecap manis+lada bubuk , kecap, cabe rawit, bawang merah, tomat, kecap manis,",3,4940
sop kambing,"am daging & tulang kambing, liter air, butir bawang merah , butir bawang putih , merica, garam, biji pala, btg kayu manis, jahe , btg daun seledri , btg daun bawang , royco sapi, wortel, kentang, daun kol, daun jeruk, tomat,",6,4941
kambing goreng super simpel,"daging kambing, ketumbar, bawang putih, garam, butir kemiri, batang serai, cm kunyit, cm jahe, royco sapi, air,",0,4942
tongseng setan daging sapi&kambing ala bunda putri,"bawang putih, bawang merah, kunyit, lengkuas, lada, cabai setan, daging sapi+daging kambing potong dadu, batang serai, ketumbar, garamkecap manispenyedap rasa, minyak goreng,",4,4943
bakso pentol daging kambing,"daging kambing merah, tepung tapioka, tepung terigu, batang daun bawang ptg kecil"", baput, bamer goreng, baking powder, penyedap rasa, garam, es batu, merica bubuk,",6,4944
geseng kambing,", daging kambing, pelengkap, air, daun jeruk purut, batang sere, butir cengkeh, bubuk jintan, cabe tipis, daun bawang tipis, kecap manis, garam, gula, sasa penyedap masakan, halus, butir bawang merah, butir bawang putih, cm jahe, merica, butir polo, cm kunyit, cabe rawit, minyak menumis, pelengkap, bawang goreng,",0,4945
bola bola rendang kambing hot spesial in_cooking,"am daging kambingcincang halusbuat bulat bulat keciljangan lupa buang serat halus bulatan pecah, cabe keriting, cabe rawit merah, santan kara, gula, garam, jahe, bawang putih, bawang merah, merica bubuk, laos, sereh, minyak goreng menumis, air,",3,4946
notitle,nan,0,4947
kambing kuah santan,", daging kambing, air merebus, air kuah, santan butir kelapa, halus, butir bawang merah, butir bawang putih, merica, butir kemiri, minyak menumis, pelengkap, daun jeruk purut, batang sere, butir kapulaga ambil isinya, kayu manis, garam, gula, sasa penyedap masakan, pelengkap penyajian, tomat buang isi, batang daun bawang cm, krupuk injo goreng, bawang goreng, jeruk nipis, suka sambal,",1,4948
tong seng kambing smaput,"am daging kambing sapi, dimemarkan, serai, lengkuas, kapulaga, dihaluskan, bawang putih, bawang merah, ketumbar, kunyit, d kasar, kol, tomat, rawit, lupa tambahkan, garam, merica bubuk, penyedap rasa, santan encer,",1,4949
nasi goreng kambing lada hitam,"am daging kambingjika sandung lamurnya ikutkan saja, piring nasi, bawang putih keprek, rawit oranye kasar, lada hitam bubuk, kecap manis, garam, penyedap rasa,",0,4950
sate kambing vs sate sapi,"daging kambing, daging sapi, bawang merah, cabai rawit, tomat, kecap,",3,4951
gulai iga kambing santan,"tulang iga kambing, btr cengkeh, btr kapulaga, kelingking kayu manis, daun salam, batang serai, jempol lengkuas , air, minyak menumis, yg dihaluskan , butir bawang merah, bawang putih, butir kemiri, lada, ketumbar, cabe keriting, jinten, gula pasir, royco sapi, jempol jahe, telunjuk kunyit,",9,4952
gulai kambing,"am daging kambing, daun pepaya, rebusan daging, jahe geprek, lengkuas geprek, daun salam, btg sereh geprek, daun jeruk, air merebus, kapulaga, cengkeh, garam, cm kayu manis, bawang putih, bawang merah, yg dihaluskan, cm kunyit, lada, butir kemiri, jinten, pala, ketumbar, taburan, bawang merah goreng, liter air campur dgn santan kara ,",4,4953
tongseng daging kambing ala niezz,"am daging kambing, daun kol , batang serai memarkan, daun salam, santan , cm lengkuas, batang daun bawang , tomat merah , gulpas, kecap manis, masako, minyak goreng menumis, halus , bwg.merah, bwg.putih , merica butir, ketumbar butir, biji kemiri, garam, kunyit, jahe,",2,4954
bubur suro kambing,"beras, liter air, liter santan, daging kambing, telur, daun brambang, bawang goreng, ons cabe, ons bawang merah, ons bawang putih, cm laos, cm kunir, cm jahe, cm kencur, ketumbar, jinten, polo, mesoyi, helai daun jeruk, garam,",0,4955
sop tulang kambing,"bawang putih, sendok teh merica, jahe, garam, tulang kambing, bunga kol dipotong potong, wortel ukuran dipotong potong, tomat, helai daun seledri, helai daun bawang,",0,4956
ongseng kambing bakar ringan,"am daging kambing, bawang merah, bawang putih, tahu, garam, gula merah, penyedap rasa, kecap, saos raja rasa, daun jeruk, minyak goreng,",2,4957
oseng daging kambing,"daging kambing , bwg merah , bwg putih , cabe rawit ""seseuai selera"" , cabe merah , garamgulalada, kecap manis , minyak utk menumis, gelas air kaldu air biasa,",0,4958
oseng oseng kambing mercon!!,"am daging kambing, fresh jus orange lemon, oz vodka , batang fresh daun bawang, batang fresh seledri, onion, bawang putih, bawang merah, biji cabe rawit, am gula jawa, am margarin, minyak goreng, black pepper, salt, merica, penyedap rasa, royco masako beef, gula pasir, daun jeruk, bawang goreng,",1,4959
nasi kebuli kambing,"am daging kambing, ltr beras, ltr air utk merebus daging, mentega, bawang bombay sedang, butir cengkeh, butir kapulaga, cm kayu manis, butir biji pala, santan, haluskan, bawang merah, bawang putih, ketumbar san ai, merica,",4,4960
sop bening kambing,"seadanya daging kambing bertulang, bawang merah, bawang putih, garam, gula, cabe merah, batang seledri, an daging kulit tomat , daun jeruk, batang wortel segar,",2,4961
oseng oseng jeroan kambing,"m jeroan kambing, cabe rawit, bawang merah, bawang putih, royco kecil, minyak goreng, gula pasir, tomat, salam\ sereh "" laos \ daun jeruk jahe,",12,4962
daging kambing goreng,"daging kambing, jeruk nipis, bawang putih, ketumbar, garam, minyak goreng, air,",1,4963
gulai koya kambing,"daging kambing+ tulang, btr koya kelapa kurleb , bubuk gulai yg pakai, pnya gula, pnya garam, sejumput asam cairkan ambil airnya, biji bawang merah , bawang bombay panjang, yg dihaluskan , biji cabe merah kering , butir bawang merah, bawang putih, cm lengkuas, cm kunir, cm jahe,",9,4964
tongseng kambing,"daging kambing direbus empuk, tomat, serai memarkan, jahe memarkan, daun jeruk, laos memarkan, kicap manis , sendok minyak menumis, gelas blimbing air, halus , bawang putih, bawang merah, cabe merah besar, cabe rawit, merica, kemiri, garamgulapenyedap rasa,",5,4965
tongseng kambing lezat,"daging kambing, wortel, kol, daun bawang, tomat, bawang merah, bawang putih, kunyit, jahe, kemiri, ketumbar, biji pala, kayu manis, cabe hijau, cabe se..an d, santan,",1,4966
bistik kambing,"am daging kambing, kentang, tomat, baput, bamer, bawang bombai, cabai merah keriting, saus teriyaki, saus sambal, kecap manis, garam gula, air,",1,4967
stir fry kambing & mangga,"daging kambing, am veg stir fry, dried mango powder, onion , bw putih , ketumbar bubuk, ggm, capsicum,",0,4968
sop kambing empuk bau,"am daging kambing beserta tulang, kentangkupasbelah kentang, wortelbersihkan potong , tomatpotong sesuai selera, bawang putih halus, bawang merah halus, bawang bombay halus, pekka, kayu manis, batang cengkeh, butir mericatumbuk kasar, minyak menumis, garam, batang daun bawang sesuai selera, batang daun seledri sesuai selera,",4,4969
iga kambing bakar,"iga kambing, air kaldu kambing, cabe rawit, kecap, garam, gula, bawang merah, bawang putih, daun jeruk,",1,4970
nasi kebuli kambing rice cooker,"daging kambing domba, cup beras , wortel tipis, bawang bombay, tomat kecil, bubuk kunyit air perasan kunyit, kapulaga, pekak , cengkeh, cm kayu manis, cm jahememarkan, pala, daun salam, garam, olive oil, halus, bawang merah, bawang putih, jintan, ketumbar,",23,4971
sate kambing muda tegal,"daging kambing muda, jeruk nipispotong², bawang goreng, olesan sate , margarine, kecap, rendaman sate , kacang goreng halus, bawang putih, garam, nanas, kecap, saus kecap , bawang merah halus, tomatpotong kasar, kecap manis, bawang putih,",6,4972
kebab daging kambing,"am tepung terigu premium, garam, gula pasir, sendok makan mentega, air hangat, baking powder, daging kambing tongseng , bawang bombay, mayonnaise, saos tomat, saos pedas manis, selada hijau , mentimun,",9,4973
sop kambing anti gagal,"daging kambing yg tulangnya, lada putih, bawang putih, pala, biji kapulaga, daun salam, batang sereh, potong jahe, potong lengkuas, jeruk nipis, air, minyak goreng, garam, gula,",0,4974
nasi kebuli kambing sederhana,"beras , daging kambing , bawang bombai , liter santan susu cair, air, minyak goreng menumis, rempah , batang sereh , biji bunga lawang pekak, biji kapulaga, biji cengkeh, batang kayu manis, lbr daun jeruk purut, lbr daun salam, bubuk kare, jintan bubuk, ketumbar bubuk, pala bubuk, lada bubuk, halus , bawang putih, bawang merah, cm jahe, pelengkap , garam, penyedap rasa, kaldu bubuk sapi, pelengkap , telur dadar an, acar, emping, bawang goreng,",46,4975
daging kambing pecel,"daging kambing segar potong dadu, air merebus, garam, gula pasir, bks pecel, jeruk purut, bawang putih, minyak goreng,",1,4976
tongseng kambing,"daging kambing, kol, tomat, cabai rawit merah, halus , bawang merah, bawang putih, jahe, kunyit, biji kemiri, ketumbar bubuk, batang sereh , merica bubuk, daun salam, minyak goreng menumis, kecap, sesuai selera garam penyedap, air,",1,4977
kulit kambing masak kecap #olahandaging,"kulit kambing, bawang putih, bawang merah, cabe merah besar, lengkuas, tomat ukuran kecil, garam, merica, kecap manis, air minyak,",0,4978
idul adha rendang daging kambing,"am daging kambingsaya pake daging yg merah fillet lebar tipis tipis, lbr daun jeruk, lbr daun salam, sereh dipotong cm an, sesuai selera kecap manis , halus, bw putih, bw merah, sejumput ketumbar, kemiri, jahe, cabe merah besar, kunyit, laos , sejumput merica yg bulet bulet , tomat yg besar,",17,4979
idul adha daging kambing teriyaki lada hitam,"am daging kambingbagian yg daging merah difillet lebar tipis tipis, bw putih dicincang, bw bombay dicincang , rendam, kecap asin , kecap manis , kecap ing is, saus tiram , minyak wijen, sejumput biji wijen , sejumput lada hitam yg disan ai ditumbuk kasar, sejumput ngohiyong , sejumput lada putih halus, cabe merah hijau potong serong , cabe rawit kalo suka pedes skip krn pas kehabisan,",6,4980
becek kambing khas tuban,"daging kambing + tulangnya, liter santan , liter air merebus tulanganmenyesuaikan, cabe rawit merah , cabe rawit hijau , btg seraiambil putihnya, lbr daun jeruk, pala, cm mesoyi (rempah kayu kayu manis. tp sy skip karna ga a, lengkuasgeprek, btg daun bawang , bawang goreng, halus, bawang merah, bawang putih, cabe rawit*skip tdk suka pedas, butir kem an ai, ketumbar biji, merica biji, jumput jinten, jahe, kunyit, kencur, ,",24,4981
kambing asam padeh,"am daging kambing teriyaki, cabai rawit merah belah dua, cabai merah keriting bulat, bawang merah tipis, bawang putih tipis, bawang bombay halus, jahe tipis, kunyit tipis, lengkuas tipis, daun salam, daun kunyit, daun jeruk, air asam jawa, saori saus tiram, air, minyak menumis, kecap asin, garam,",0,4982
sate kambing kacang mantap,"am daging kambing, batang tusuk sate, kacang , am kacang tanah goreng, bawang putih, cabe merah besar, bawang merah goreng, gula merah, kecap sate cap ikan layur, gulagaramvetsin, olesan bakaran, olesan bakaran, kacang, kecap, minyak goreng, air,",8,4983
kambing renyah sederhana ala kfc,"daging kambing, marinade, nanas muda, basah, bawang putih, , tepung krispi instan , btr telur, air dingin, susu bubuk putih, adonan kering, tepung krispi instan , bks boncabe lev ,",0,4984
tongseng kambing santan a la wandanis,"am daging kambing, am kubis, bawang putih, butir bawang merah, cabe rawit pedas, cabe keriting, cm kunyit, cm jahe, merica bubuk, cm lengkuas, daun jeruk, tomat hijau merah, air bersih, minyak goreng menumis, sesuai selera penyedap rasa, sesuai selera garam, sesuai selera gula jawa, sesuai selera kecap manis,",6,4985
tongseng kambing mercon,"daging kambingpotong sesuai selera, btg serai geprek, cm lengkuas laos, lbr daun salam, bawang merahrajang tipis, ltr air, bks santan kara kecil, kol kubisrajang kasar , tomatpilih yg kuning, kecap manis, lbr daun bawang kasar , ons cabe rawitsebagian dirajangsebagiaqn dibiarkan utuh, halus , bawang merah, bawang putih, ketumbar bubuk, merica bubuk, cm jahe, cm kunyit bakar, btr kemiri san ai, bks kaldu bubuk, garam,",10,4986
sate goreng kambing super pedas,", am daging kambing, butir bawang bombay, cabai rawit merah, tomat merahbuang bijinya, kol, halus, munjung ketumbar butiran, bawang merah, bawang putih, cabai rawit merah, jahe, butir kemiri, kecap manis, air asam jawa, garam, kaldu sapi bubuk, lain, daun jeruk, daun salam,",6,4987
kari kambing,"daging kambing, kari, daun kari, santan, sereh,",0,4988
rendang daging kambing,"batang serai, daging kambing, daun kunyit, daun salam, jeruk nipis, cm lengkuas, daun jeruk, cm jahe, asam, gula merah, kaldu bubuk, merica bubuk, minyak, santan instan, yg haluskan, bawang putih, bawang merah, cabe merah, cabe rawit merah, garam, ketumbar, butir kemiri, cm kunyit,",21,4989
daging kambing sambal kampung,"daging kambing , kasar , ons cabe merah, tangkai cabe ijo, tangkai cabe rawit, bawang putih, bawang merah, jahe , pelengkap, daun bawang, bawang goreng, gula garam sesuai selera ya bunda., minyak menumis,",1,4990
marak kepala kambing,"kepala kambingyg sdh dibersih didihkan diganti airnya x spy airnya tdk berbau, halus , bawang putih, merica, ketumbar, cm kunyit, cm jahe, rempah , cengkih, cm kayu manis, kapulaga, bawang bombang potong kasar, tomat besar, garam penyedap rasa,",6,4991
sop kambing kurban,"am daging kambing, wortel, am buncis, tomat, halus, kapulaga, butir lada, cengkehkayu manis, pala, bwng putih, daun bawang, seledri, kecap manis, garam, jeruk lemon jeruk nipis,",1,4992
krengsengan kambing mercon,"daging kambin ebus smp empuk potong , sachet kecap manis sesuai selera, petis udang, daun salam, batang serai memarkan, laos memarkan, minyak menumis, air, yg dihaluskan , butir bawang merah, bawang putih, cabe merah besar, cabe rawit sesuaikan selera., jahe, ketumbar, merica, butir kemiri, sesuai selera garamgulakaldu bubuk,",9,4993
nasi goreng kambing ala mak icik,"piring penuh nasi putih , daging kambingpotong kotak, batang daun bawang , mentega margarin diganti minyak goreng, halus, bawang merahbakar, bawang putihbakar, butir kemiri sangarai, cabe merah besarsaya buang isinya karna yg ga s, tomat merah, terasi matang, merica bubuk, gula garam, pelengkap, bawang goreng, acar mentah , emping belinjo,",4,4994
sate kambing spesial saos kacang,"am daging kambing, membakar sate , jinten, ketumbar, gula merah, kecap, minyak, saos kacang , bawang putih, am kacang sambalsdh goreng, garam, air, kecap, arang, tusuk sate,",3,4995
tongseng kambing no santan,"daging kambing potong dadu, kol kasar, tomat potong dadu, cabe rawit, yg dihaluskan, bawang putih, bawang merah, kunyit, cabe merah, ketumbar, merica, butir kemiri, lengkuas digeprek, jahe digeprek, lbr daun salam, lbr daun jeruk, batang sereh ambil putihnya geprek,",8,4996
sate kambing sambal kacang tanah,", daging kambing, ons , kacang tanah, kecap manis, btr , tomat, cabai rawit, bawang merah, nanas rendam daging ,",4,4997
tongseng kambing,"daging kambing, santan instan , lengkuas geprek, kecap manis, gula, garam, lada bubuk, ketumbar bubuk, sesuai selera cabai rawit utuh, tomat, halus , cabai merah, bawang putih, bawang merah, butir kemiri, kunyit,",2,4998
sop kambing,"daging kambingsaya pilih yg berlemak, sayuran sop, bunga lawang, biji cengkih, biji pala, jahe, bawang putih, gara adapenyedap,",0,4999
nasi goreng kambing ala jawa,"potong dadu daging kambing, an daun bawang, garam, kaldu bubuk, kecap manis, nasi putih, halus , bawang putih, bawang merah, cabai,",1,5000
sop kambing bening,"daging kambing tulang, helai seledri, helai daun bawang, tomat, cabai rawit merah utuh, jahekeprek, butir palakeprek, batang kayu manis, butir cengkeh, halus , bawang merah, bawang putih, ketumbar, garam, merica , cm jahe, pelengkap , bawang goreng, jeruk nipisbelah,",8,5001
tongseng kambing simple banget,"daging kambing cincang kecil, bawang merah, bawang putih, salam, sereh, tomat, cabai rawit merah, kecap, santan kara, garam,",2,5002
daging kambing pedas manis,"daging kambing, bawang bombay, bawang merah, bawang putih, cabe rawit merah hijau, garam, cukupnya royco, kecap manis, air,",0,5003
bistik kambing teriyaki,"daging kambing segar, biji kentang, biji tomat , biji cabe merah cabe kriting, bawang putih, biji bawang merah, lada hitam, saus teriyaki, garam, gula putih, kecap manis, air, nanas tambahkan, penyedap royco, biji bawang bombai, saus tomat, saus cabai,",3,5004
iga kambing saos mercon,"g iga kambingpotong sesuai selera, biji cabe rawit , bawang bombaycincang halus, bawang putihcincang halus, cm jaheparut, liter air, kecap manis, garam, merica hitam bubuk, gula pasir, air jeruk nipis, minyak gorenguntuk menumis,",0,5005
tongseng kambing ga ribet,"paha kambing, daun pepaya, wortel serong, santan kara, air, bw merah halus, bw putih halus, cabe merah serong, cabe hijau serong, cabe rawit merah, serai, daun salam, tomat , kecap manis, garam, minyak menumis,",0,5006
tongseng kambing,"daging kambing, daun salam, serei memarkan, lengkuas memarkan, tomatpotong , kubis kasar, kecap manis, garam gula, cabe rawit utuhkalo lebi pedes tambahin, daun bawang potong , airboleh pake santan kalo suka, halus , bawang putih, bawang merah, ketumbar, merica, cabe merah keriting, kemirikalo pake santan kurangi, kunyit, pelengkap , bawang goreng utk penyajian,",7,5007
sate goreng daging kambing simple,"m daging kambing, bumbu, bawang putih, sejumput garam, sejumput merica bubuk, kecap, minyak, air, sambel kecap, bawang merah, biji cabe rawit, biji tomat, kecap,",6,5008
bistik kambing oyee,"daging kambing, bawang merah, bawang bombay, kecap manis, lada putih, tomat, cuka, kentang, daun selada, cabe rawit,",0,5009
kambing bakar africa,"am daging paha kambing, air lemon, bubuk, . jinten, . ketumbar, . lada, kaldu sapi bubuk, pelengkap , pisang tanduk, minyak , olive oil, mayonaise, saus sambal,",1,5010
tongseng daging kambing,"daging kambing, lbr daun jeruk, lbr daun salam, seraidigeprek, jahedigeprek, garam gula pasir, merica bubuk, kecap manis, tomatpotong bagian, kolpotong potong, haluskan, bawang merah, bawang putih, butir pala, cabe keriting merah, jinten, kemiri,",0,5011
tongseng kambing bebas bau prengus ala #thebasith,", am daging kambing, nanas parut blender air, tomat, air, batang daun bawang, halus, biji cabai merah, biji cabe rawit merahtambahkan suka pedes, bawang merah, tomat , biji kemiri, jahe, merica bubuk, kari bubuk , tam , batang serehambil putihnya, daun jeruksobek , garam, gula, kecap manis,",4,5012
tongseng kambing praktis,"am tulang kambing + dagingnya , liter santan, batang serai keprek, lengkuas keprek, lmbar daun salam, lmbar daun jeruk, kecap manis, cabai rawit utuh, sesuai selera kubis , tomat , penyedap , halus , cabai kriting, bawang putih, bawang merah, butir kemiri, garamketumbarladakunyit,",3,5013
bakso daging kambing,"am daging kambing , kulit , am tepung tapioka sagu, bawang putih petebusan, butir putih telur, lada bubu aram, daun bawangseledri , es batu, minyak goreng,",3,5014
sup kambing gampang,"daging kambing tulang nya, bawang merah, bawang putih , bawang bombay , jahe geprek, pekak, kapulaga, kayu manis , daun jeruk, lada bubuk+garam+gula, air, minyak menumis, pelengkap, tomat, daun bawang, bawang goreng,",1,5015
sop kambing,"daging kambing & tulangannyadirebus dgn air yg berbeda kuah sop, sesuai selera jeruk nipis jeruk limo, batang daun bawang, wortel importpotong gede, kentangpotong kotak besar, halus , bawang putih, bawang merah, butir biji pala, cm jahe, lada bulat, garam, penyedap rasa, gula,",1,5016
kambing tengkleng solo,"tulang kambing daging kambing, santan sedang, air, tomat bagian, pepaya mentah, jeruk nipis, daun jeruk, daun salam, merica bubuk, gula jawa sisir, batang serai geprek, halus, butir bawang merah, butir bawang putih, cm lengkuas, cm jahe, cm kunyit, garam, butir kemiri, ketumbar,",41,5017
garang asem kambing,"daging kambing + tulangnya, air asam jawa , cabe rawit hijau merah, cabe merahpotong cm, tomat uk. kecilpotong kotak, cm jahebakar. tipis, bw merahbakar. tipis, bw putihbakar. tipis, cm kunyitbakar. geprek, btg seraiambil putihnya, lengkuasbakar. geprek, lbr daun salam, sesuai selera gula garam, liter air, minyak menumis,",9,5018
tongseng kambing,"daging kambing, bawang merah, bawang putih, cabe merah, cabe keriting , sesuai selera merica, kunyit, jahe, serai, kol, daun salam, daun jeruk, minyak sayur,",2,5019
sate kambing,"daging kambing, bawang putih, ketumbar, gula merah, garam, kecap manis, biji cabe rawit, tomat, biji bawang merah, kemiri, blue band,",0,5020
sate kambing pedas manis gurih,"am daging kambing, btg tusuk sate , daun pepaya, pembakar arang membakar sate, sate bakar , kecap bango pedas manis gurih, sejumput lada bubuk, air, pelengkap , kecap bango pedas manis gurih, lada, tomat bagian, cabai rawit , bawang merah tipis, daun selada,",0,5021
suwir abon daging kambing,"daging kambing, bawang putih, cabe merah, ketumbar, jintan, cm laos, lbr daun jeruk, garam, gula, asam jawa, air,",1,5022
sop kambing nikmat mudah,"daging kambing sapi, batang sereh, semur , santan kelapa, bks kaldu sapi sachet, cm jahe, garam, jeruk nipis , air, batang kayu manis,",0,5023
gulai kambing,"am daging kambing , daun jeruk , daun salam, batang sereh , cengkeh, sesuai selera garamgulakaldu bubukpala bubuk, sesuai selera cabe rawit , kayu manis bubuk batang kayu manis, santan, halus , ketumbar, jinten, bawang merah, bawang putih, butir kemiri , cm kunyit, cm jahe, cm lengkuas, taburan bawang goreng,",5,5024
sate kambing teflon,"daging kambing dadu, tomat , bawang merah , cabe rawit, kecap manis, minyak goreng,",7,5025
sate kambing madura,"daging kambinghati lemak , tusuk sate, halus , cabe merah , butir bawang merah, bawang putih, kemiri, gula merah, kaldu bubuk, garam, gula pasir, saos kacang , minyak goreng, kacang tanah , kecap manis , lbr daun jeruk purut, air , pelengkap , sesuai selera nasi hangat lontong, bawang merah an, sesuai selera jeruk limau nipis, sesuai selera cabe rawit sambal an, sesuai selera kecap manis, sesuai selera bawang goreng,",76,5026
sate kambing+sate sapi,"daging kambing, daging sapi, bawang putih, bawang merah, ketumbar, butir kemiri, gula jawa, sejumput garam, biji asam jawa, cm jahe , daun jeruk, olesan, kecap manis, potongan cabe rawit,",3,5027
sate kambing empuk ketumbar,"am daging kambingtidak dicuci, butir bawang merah tipis, sesuai kebutuhan tusukan sate, pepaya mentah, # perendamdihaluskan, ketumbar san ai, bawang merah, bawang putih, butir kem an ai, jintensan ai, cm jahe, minyak menumis, #bumbu lainnya, daun jeruksobek"", kecap manis, sesuai selera garam, gula pasir, merica bubuk, kaldu bubuk, air jeruk nipis, air, # & saus kacang, am kacang tanahgorenghaluskan, bawang putihhaluskan, butir cabai rawit merahhaluskan , cabe merah buang bijinyapotong"" sesuai selera garam, kecap manis, petis merah, petis hitam, air jeruk nipis, gelas air, santan kara kental, gula pasir, sesuai selera kaldu ayam bubuk,",8,5028
daging kambing black pepper,"am daging kambing, nenas , cabe rawit , minyak goreng, kecap, black pepper merica hitam , garam, gula, halus, bawang merah, bawang putih, gula jawa, butir kemiri, ketumbar,",2,5029
sop tulang+daging kambing ala meida,"daging + tulang paha kambing , garam, gula merah, asam jawa, daun salam, tangkai daun sereh, sachet lada bubuk, daun bawang, saus tomat, jahe, bawang bombai, bawang merah, bawang putih,",0,5030
tongseng kambing,"masakan, minyak goreng , daun salam, batang seraimemarkan, daun jeruk, am daging kambingpotong x cm, liter air, kecap manis, am kolpotong potong , cabai rawit, batang daun bawangpotong cm, tomatpotong bagian, bawang goreng, halus, bawang merah, bawang putih, butir kemiri, cm jahe, cm kunyit, merica, garam, sachet penyedap , gula merah,",5,5031
pizza kambing ala levi,"tepung terigu, butir kuning telur, mentega, ragi instan, gula pasir, bubuk kaldu daging, resep saus , botol saus cabe , botol saus tomat , lada bubuk, gula pasir, kaldu daging bubuk, bawang putih , daging kambing rebus.. potong , tam , air hangat, sosis + keju + mayonaise topping tam ,",2,5032
krengsengan kambing,"daging kambing yg direbus , lada bubuk, royco, air, minyak goreng menumis,",1,5033
kambing asam manis,"daging kambing buang lemaknya, bawang bombay, bawang putih, sesuai selera cabai rawit, kecap manis, saus teriyaki, saus tiram, nanas, tomat, gula garam lada,",3,5034
sate kambing a la makmer,"daging kambing , siapkan , tusuk sate,",18,5035
tongseng kambing simple,"daging kambing, btr bawang merah, bawang putih, jahe, kunyit, btr kemiri, merica, cabe merah buang isinya, cabe rawit merah, tomat ukurn sedang, lengkuasgeprek, lbr daun jeruk, btg serehdigeprek, daun kol, kecap manis, gula putihgaram, penyedap , minyak goreng utk menumis,",10,5036
tengkleng kambing empuk..byerni hartanti. amd,"tulang kambing berdaging, liter air biasa, daun salam, sepotong jeruk baby peras ambil airnya, batang serai, dihaluskan, btr kemiri, bawang merah besar, bawang putih besar, cm kunyit, mrica bubuk, gula jawa, garam kasar, bgkus santan kara,",2,5037
oseng kambing,"daging kambing lemak tulang muda ada, tomat segar, daun jeruk, daun salam, lengkuas geprek, btg serai geprek, biji cabai rawit tipis, bawang bombay tipis, kentang potong dadu goreng dahulu, kecap, minyak goreng menumis, dihaluskan , bwg merah, bawang putih, cabe merah besar, kunyit, sendok ketumbar, kemiri , merica, garam, gula, penyedap rasa,",2,5038
"sate kambing oven ""empuk""","sate tusuk, tusuk daging kambing, tepung kanjibiar empuk, mentegadicairkan, garam, merica bubuk, kecap, kecap, bawang merahpotong , tomatpotong , cabe rawit merahpotong , jeruk limo,",6,5039
rendang kambing pedas manis,"daging kambing, gelas santan kani, air, bawang merah, bawang putih, cabe merah, cabe rawit, batang serai, daun jeruk purut, ketumbar, mrica pala, butir kunir, butir kencur, jahe, kecap manis,",10,5040
kikil kambing pedas saus tiram,"potong kikil kambing , helai kacang panjang, bawang merah, bawang putih, cabe rawit, cabe hijau gedhe, tipis lengkuas, garam, terasi, gula, saus tiram, kecap manis, sendok minyak menumis, air saja,",2,5041
gulai kambing,"air merebus daging, daging , sachet gule merek bamboe, daun jeruk, seraimemarkan, kayu manisbakar sebentar, tam dihaluskan, bawang merah, bawang putih, cabe merah, cabe kecilsesuai selera, garam, bks santan instan ukuran , merebus daging, biji kapulaga, bawang bombaymasukkan utuh, kayu manis,",1,5042
tongseng kambing simpel n mantap,"daging kambing, sachet gule instan , santan kental , bawang merah , bawang putih , biji cabe merah , biji cabe rawit, batang daun bawang , tomat , batang sereh, daun salam, daun jeruk , minyak goreng menumis, kecap manis, kol kubis,",4,5043
krengseng kambing asam pedas,"daging kambing, am nanas parut, air, helai daun salam, biji kemiri san ai, am cabai rawit sesuai selera, cabe merah besar, bawang putih, bawang merah, cm kunyit, cm jahe, seuprit merica, petis, asam, helai daun jeruk, batang serai, minyak menumis, tomat ukuran sedang, kecap manis, garam gula,",1,5044
semur daging kambing pedas manis ala iney,"daging kambing, bawang merah, bawang putih, cabe rawit, cabe merah kriting, kemiri, sendok ketumbar, cm kunyit, cm lengkuas, jahe, tomat, sendok lada, batang serai geprek, daun salam, daun jeruk, gula merah, garampenyedap rasa, kecap bangau, air kuah, minyak,",7,5045
